"product_id","title","status","official_url","skip_reason","current_word_count","generated_word_count","existing_seo_title","existing_seo_description"
"9065881764079","DALL·E 3 (OpenAI): AI for generating high-quality images from text prompts","ACTIVE","https://openai.com/index/dall-e-3","Could not gather enough trustworthy source material","32","0","DALL·E 3 | AI Image Generator by OpenAI","Generate high-quality images from text descriptions with OpenAI's DALL·E 3."
"9065881796847","Midjourney: AI for creating artistic and photorealistic images","ACTIVE","https://www.midjourney.com/pricing","Could not gather enough trustworthy source material","29","0","Midjourney | AI Art Generator","Create artistic and photorealistic images with Midjourney AI."
"9065881862383","Canva AI: Design platform with AI-powered image creation and editing","ACTIVE","https://www.canva.com/en_in/pricing","Could not gather enough trustworthy source material","30","0","Canva AI | Design Platform with AI Tools","Create stunning designs with AI-powered tools on Canva."
"9065881927919","Adobe Firefly: AI for image generation and editing within Adobe Suite","ACTIVE","https://www.adobe.com/products/firefly.html","Could not gather enough trustworthy source material","25","0","Adobe Firefly | AI Image Generation","Create professional images with AI in the Adobe ecosystem."
"9065882058991","NightCafe: AI art generator with multiple style options","ACTIVE","https://nightcafe.studio/pricing","Could not gather enough trustworthy source material","25","0","NightCafe | AI Art Generator","Create AI art with multiple style options on NightCafe Studio."
"9065882255599","Luminar AI: Photo editing with AI-driven enhancements","ACTIVE","https://skylum.com/luminar-ai-pricing","Could not gather enough trustworthy source material","24","0","Luminar AI | AI Photo Editor","Enhance photos with AI-driven editing tools and one-click solutions."
"9065882419439","Crello AI: AI-powered graphic design for social media and marketing","ACTIVE","https://create.vista.com/pricing","Could not gather enough trustworthy source material","37","0","Crello AI | Graphic Design with AI","Create social media and marketing designs with AI-powered tools."
"9069939327215","Grok by xAI (Conversational AI for answering questions and providing insights with a focus on truth-seeking)","ACTIVE","https://x.ai/grok","Could not gather enough trustworthy source material","93","0","Grok AI Chatbot by xAI","Experience Grok, xAI's truth-seeking AI for research and productive conversations."
"9069939359983","ChatGPT by OpenAI (A versatile chatbot for conversations, task automation, and content generation)","ACTIVE","https://chatgpt.com/pricing","Could not gather enough trustworthy source material","87","0","ChatGPT by OpenAI | Versatile AI Chatbot","Experience ChatGPT, OpenAI's versatile AI for conversations and task automation."
"9069939851503","Perplexity by Perplexity (AI-powered search and answer engine for research and queries)","ACTIVE","https://www.perplexity.ai/","Could not gather enough trustworthy source material","78","0","Perplexity by Perplexity | AI Search Engine","Experience Perplexity for research and queries."
"9069940277487","Grok Vision by xAI (Vision-enabled assistant for analyzing images and text)","ACTIVE","https://x.ai/grok","Could not gather enough trustworthy source material","77","0","Grok Vision by xAI | Vision AI Assistant","Experience Grok Vision for image analysis."
"9069940834543","Ada by Ada (Customer service assistant for automated query resolution)","ACTIVE","https://www.ada.cx/","Could not gather enough trustworthy source material","75","0","Ada by Ada.cx | AI Customer Service","Experience Ada for automated query resolution."
"9070776746223","Soundraw: AI music generator for creating custom royalty-free music","ACTIVE","https://soundraw.io/pricing","Could not gather enough trustworthy source material","38","0","Soundraw | AI Music Generator","Create custom royalty-free music for your videos with AI."
"9070776910063","Adobe Audition AI: Professional audio workstation with AI-enhanced features","ACTIVE","https://www.adobe.com/creativecloud/plans.html","Could not gather enough trustworthy source material","42","0","Adobe Audition | Professional Audio Editing","Edit, mix and restore audio with professional tools and AI features."
"9070777270511","Amper Music: AI music composition tool for creating custom soundtracks","ACTIVE","https://www.shutterstock.com/music","Could not gather enough trustworthy source material","38","0","Amper Music | AI Music Composer (Discontinued)","AI music composition tool for creating custom soundtracks (Discontinued)."
"9070777532655","iZotope RX: Audio repair and enhancement suite with AI-powered tools","ACTIVE","https://www.izotope.com/en/products/rx.html","Could not gather enough trustworthy source material","38","0","iZotope RX | Audio Editor & Repair Suite","Repair, enhance and restore audio with AI-powered tools."
"9096031994095","AccuWeb Beginner Shared Hosting","ACTIVE","https://www.accuwebhosting.com/web-hosting","Could not gather enough trustworthy source material","13","0","AccuWeb Beginner Shared Hosting","Windows shared hosting for beginners."
"9096032059631","AccuWeb Enterprise Shared Hosting","ACTIVE","https://www.accuwebhosting.com/web-hosting","Could not gather enough trustworthy source material","9","0","AccuWeb Enterprise Shared Hosting","Unlimited Windows shared hosting for enterprise."
