"productId","graphqlId","title","vendor","oldUrl","newUrl","changed","sourceMethod","officialDomain","urlStatusBefore","assessmentBefore","landingTypeBefore","chosenLandingType","chosenHttpStatus","applied","applyError","selectionReason"
"9069939687663","gid://shopify/Product/9069939687663","Gemini by Google (Multimodal AI for text, image processing, and task assistance)","Google","https://gemini.google.com/","https://gemini.google.com/","false","fallback_homepage","gemini.google.com","unreachable","likely_official_website","unreachable","unreachable","502","false","","Trusted the current official domain and fell back directly to its homepage"
"9102082474223","gid://shopify/Product/9102082474223","Liquid Web Nexcess Magento Plans","Nexcess","https://sites-portal.liquidweb.com/","https://sites-portal.liquidweb.com/","false","fallback_homepage","sites-portal.liquidweb.com","unreachable","likely_official_website","unreachable","unreachable","403","false","","Trusted the current official domain and fell back directly to its homepage"
"9104547217647","gid://shopify/Product/9104547217647","Prospera (AI for agricultural data analytics)","Prospera","https://prospera.ag/","https://prospera.ag/","false","fallback_homepage","prospera.ag","unreachable","unclear","unreachable","unreachable","","false","","Fell back to the official domain homepage because no better confirmed product page was available"
"9104547250415","gid://shopify/Product/9104547250415","AgroScout (AI for pest and disease detection)","AgroScout","https://agro-scout.com/","https://agro-scout.com/","false","fallback_homepage","agro-scout.com","unreachable","unclear","unreachable","unreachable","403","false","","Fell back to the official domain homepage because no better confirmed product page was available"
"9104580346095","gid://shopify/Product/9104580346095","Spark AR (AI for AR effects on Meta platforms)","Meta","https://sparkar.meta.com/","https://sparkar.meta.com/","false","fallback_homepage","sparkar.meta.com","unreachable","unclear","unreachable","unreachable","","false","","Fell back to the official domain homepage because no better confirmed product page was available"
"9111823253743","gid://shopify/Product/9111823253743","TIBCO Spotfire (AI for advanced data analytics)","TIBCO","https://www.spotfire.com/","https://www.spotfire.com/","false","existing_homepage","spotfire.com","working","unclear","home_page","home_page","200","false","","Current metafield already resolves to an official-looking homepage"
"9111849173231","gid://shopify/Product/9111849173231","Socratic (Google) for homework","Google","https://socratic.google.com/","https://socratic.google.com/","false","fallback_homepage","socratic.google.com","unreachable","unclear","unreachable","unreachable","","false","","Fell back to the official domain homepage because no better confirmed product page was available"
"9111871291631","gid://shopify/Product/9111871291631","AutoGrid (AI for energy grid optimization)","AutoGrid","https://www.auto-grid.com/","https://www.auto-grid.com/","false","existing_homepage","auto-grid.com","working","unclear","home_page","home_page","200","false","","Current metafield already resolves to an official-looking homepage"
"9112023040239","gid://shopify/Product/9112023040239","Ecopia AI (AI for environmental mapping and land use)","Ecopia AI","https://ecopia.ai/","https://ecopia.ai/","false","fallback_homepage","ecopia.ai","unreachable","unclear","unreachable","unreachable","","false","","Fell back to the official domain homepage because no better confirmed product page was available"
"9112044863727","gid://shopify/Product/9112044863727","Aequitas (AI for auditing bias and fairness in algorithms)","Aequitas","https://aequitas.dev/","https://aequitas.dev/","false","fallback_homepage","aequitas.dev","unreachable","unclear","unreachable","unreachable","","false","","Fell back to the official domain homepage because no better confirmed product page was available"
"9113822101743","gid://shopify/Product/9113822101743","AIGameDev (AI for game AI research and prototyping)","AIGameDev","https://aigamedev.com/","https://aigamedev.com/","false","fallback_homepage","aigamedev.com","unreachable","unclear","unreachable","unreachable","","false","","Fell back to the official domain homepage because no better confirmed product page was available"
"9113901236463","gid://shopify/Product/9113901236463","Caption Health (AI for guided ultrasound imaging)","Caption Health","https://captionhealth.com/","https://captionhealth.com/","false","fallback_homepage","captionhealth.com","unreachable","unclear","unreachable","unreachable","","false","","Fell back to the official domain homepage because no better confirmed product page was available"
"9116612755695","gid://shopify/Product/9116612755695","C3.ai (AI for manufacturing process optimization)","C3.ai","https://c3.ai/","https://c3.ai/","false","existing_domain_homepage","c3.ai","working","unclear","home_page","home_page","200","false","","Used the official website homepage because a confident product page was not available"
"9116690710767","gid://shopify/Product/9116690710767","Mindstrong (AI for mental health monitoring)","Mindstrong","https://mindstrong.com/","https://mindstrong.com/","false","fallback_homepage","mindstrong.com","unreachable","unclear","unreachable","unreachable","","false","","Fell back to the official domain homepage because no better confirmed product page was available"
"9120262455535","gid://shopify/Product/9120262455535","Fetch Robotics (AI for warehouse automation robots)","Fetch Robotics","https://fetchrobotics.com/","https://fetchrobotics.com/","false","fallback_homepage","fetchrobotics.com","unreachable","unclear","unreachable","unreachable","","false","","Fell back to the official domain homepage because no better confirmed product page was available"
"9120313344239","gid://shopify/Product/9120313344239","Lucidworks (AI for intelligent search and discovery)","Lucidworks","https://lucidworks.com/","https://lucidworks.com/","false","fallback_homepage","lucidworks.com","unreachable","likely_official_website","unreachable","unreachable","403","false","","Trusted the current official domain and fell back directly to its homepage"
"9153158611183","gid://shopify/Product/9153158611183","INK (AI for SEO and content optimization)","INK","https://smythos.com/","https://smythos.com/","false","existing_domain_homepage","smythos.com","working","unclear","home_page","home_page","200","false","","Used the official website homepage because a confident product page was not available"
"9195610472687","gid://shopify/Product/9195610472687","Engagedly 360 Degree Feedback","Engagedly","https://engagedly.com/","https://engagedly.com/","false","fallback_homepage","engagedly.com","unreachable","likely_official_website","unreachable","unreachable","403","false","","Trusted the current official domain and fell back directly to its homepage"
"9195725816047","gid://shopify/Product/9195725816047","Rhino 3D - Advanced Architectural Modeling & Parametric Design Software","Robert McNeel & Associates","https://www.rhino3d.com/","https://www.rhino3d.com/","false","existing_homepage","rhino3d.com","working","unclear","home_page","home_page","200","false","","Current metafield already resolves to an official-looking homepage"
"9195726045423","gid://shopify/Product/9195726045423","D5 Render - Real-Time Architectural Rendering Software","D5 Techs","https://www.d5render.com/","https://www.d5render.com/","false","existing_homepage","d5render.com","working","unclear","home_page","home_page","200","false","","Current metafield already resolves to an official-looking homepage"
