"product_id","graphql_id","title","vendor","old_url","new_url","changed","source_method","official_domain","url_status_before","assessment_before","landing_type_before","chosen_landing_type","chosen_http_status","applied","apply_error","selection_reason"
"9065881764079","gid://shopify/Product/9065881764079","DALL·E 3 (OpenAI): AI for generating high-quality images from text prompts","OpenAI","https://openai.com/index/dall-e-3","https://openai.com/","true","fallback_homepage","openai.com","unreachable","likely_official_website","unreachable","unreachable","403","true","","Trusted the current official domain and fell back directly to its homepage"
"9065881796847","gid://shopify/Product/9065881796847","Midjourney: AI for creating artistic and photorealistic images","Midjourney","https://www.midjourney.com/pricing","https://midjourney.com/","true","fallback_homepage","midjourney.com","unreachable","likely_official_website","unreachable","unreachable","403","true","","Trusted the current official domain and fell back directly to its homepage"
"9065881862383","gid://shopify/Product/9065881862383","Canva AI: Design platform with AI-powered image creation and editing","Canva","https://www.canva.com/en_in/pricing","https://canva.com/","true","fallback_homepage","canva.com","unreachable","likely_official_website","unreachable","unreachable","403","true","","Trusted the current official domain and fell back directly to its homepage"
"9065881927919","gid://shopify/Product/9065881927919","Adobe Firefly: AI for image generation and editing within Adobe Suite","Adobe","https://www.adobe.com/products/firefly.html","https://adobe.com/","true","fallback_homepage","adobe.com","unreachable","unclear","unreachable","unreachable","","true","","Fell back to the official domain homepage because no better confirmed product page was available"
"9065882058991","gid://shopify/Product/9065882058991","NightCafe: AI art generator with multiple style options","NightCafe","https://nightcafe.studio/pricing","https://nightcafe.studio/","true","fallback_homepage","nightcafe.studio","unreachable","likely_official_website","unreachable","unreachable","403","true","","Trusted the current official domain and fell back directly to its homepage"
"9065882255599","gid://shopify/Product/9065882255599","Luminar AI: Photo editing with AI-driven enhancements","Skylum","https://skylum.com/luminar-ai-pricing","https://skylum.com/","true","fallback_homepage","skylum.com","unreachable","likely_official_website","unreachable","unreachable","403","true","","Trusted the current official domain and fell back directly to its homepage"
"9065882288367","gid://shopify/Product/9065882288367","DreamStudio: AI image generator powered by Stable Diffusion","Stability AI","https://brandstudio.com/pricing","https://dreamstudio.com/","true","web_search_homepage","dreamstudio.com","working","unclear","other_page","home_page","200","true","","Used the official website homepage because a confident product page was not available"
"9065882386671","gid://shopify/Product/9065882386671","Pixelcut: AI for e-commerce product image editing","Pixelcut","https://www.pixa.com/pricing","https://pixelcut.com/","true","web_search_homepage","pixelcut.com","working","unclear","other_page","home_page","200","true","","Used the official website homepage because a confident product page was not available"
"9065882419439","gid://shopify/Product/9065882419439","Crello AI: AI-powered graphic design for social media and marketing","Crello","https://create.vista.com/pricing","https://crelloai.com/","true","fallback_homepage","crelloai.com","unreachable","unclear","unreachable","unreachable","","true","","Fell back to the official domain homepage because no better confirmed product page was available"
"9069939327215","gid://shopify/Product/9069939327215","Grok by xAI (Conversational AI for answering questions and providing insights with a focus on truth-seeking)","xAI","https://x.ai/grok","https://x.ai/","true","fallback_homepage","x.ai","unreachable","unclear","unreachable","unreachable","403","true","","Fell back to the official domain homepage because no better confirmed product page was available"
