"product_id","title","assigned_values","assigned_kinds","source_used","changed","classification_reason","url_used","web_search_query"
"9048227676399","MagicPods AI Bundle","All-in-One Marketing Platform","All-in-One Marketing Platform:name","description","true","All-in-One Marketing Platform via name","","MagicPods AI Bundle magicpodsai"
"9048894505199","WHP - WordPress Hosting","Unlimited Shared Hosting","Unlimited Shared Hosting:name","product URL","true","Unlimited Shared Hosting via name","https://www.webhostingpad.com/15298-11-1-70.html","WHP - WordPress Hosting WebHostingPad Shared Hosting"
"9065881764079","DALL·E 3 (OpenAI): AI for generating high-quality images from text prompts","visual-ai-other","visual-ai-other:handle","description","true","Other via handle","https://openai.com/dall-e-3","DALL·E 3 (OpenAI): AI for generating high-quality images from text prompts OpenAI Visual AI"
"9065881796847","Midjourney: AI for creating artistic and photorealistic images","visual-ai-other","visual-ai-other:handle","description","true","Other via handle","https://www.midjourney.com/pricing","Midjourney: AI for creating artistic and photorealistic images Midjourney Visual AI"
"9065881862383","Canva AI: Design platform with AI-powered image creation and editing","Image Enhancement AI","Image Enhancement AI:name","description","true","Image Enhancement AI via name","https://www.canva.com/pricing","Canva AI: Design platform with AI-powered image creation and editing Canva Visual AI"
"9065881895151","Stable Diffusion: Open-source AI for generating custom images","visual-ai-other","visual-ai-other:handle","product URL","true","Other via handle","https://stability.ai","Stable Diffusion: Open-source AI for generating custom images Stability AI Visual AI"
"9065881927919","Adobe Firefly: AI for image generation and editing within Adobe Suite","Image Enhancement AI","Image Enhancement AI:name","description","true","Image Enhancement AI via name","https://www.adobe.com/sensei/generative-ai/firefly.html","Adobe Firefly: AI for image generation and editing within Adobe Suite Adobe Visual AI"
"9065881960687","Runway ML: AI for image and video editing with generative capabilities","Image Enhancement AI","Image Enhancement AI:name","description","true","Image Enhancement AI via name","",""
"9065881993455","Artbreeder (AI for collaborative art generation)","AI Art Generation","AI Art Generation:name","description","true","AI Art Generation via name","",""
"9065882026223","Fotor AI: Photo editing with AI enhancements like background removal","visual-ai-other","visual-ai-other:handle","product URL","true","Other via handle","https://www.fotor.com/pricing","Fotor AI: Photo editing with AI enhancements like background removal Fotor Visual AI"
"9065882058991","NightCafe: AI art generator with multiple style options","visual-ai-other","visual-ai-other:handle","description","true","Other via handle","https://nightcafe.studio/pricing","NightCafe: AI art generator with multiple style options NightCafe Visual AI"
"9065882091759","VanceAI: AI for image upscaling","Image Enhancement AI","Image Enhancement AI:name","description","true","Image Enhancement AI via name","",""
"9065882124527","Photopea AI: Browser-based AI-enhanced photo editing","visual-ai-other","visual-ai-other:handle","product URL","true","Other via handle","https://www.photopea.com","Photopea AI: Browser-based AI-enhanced photo editing Photopea Visual AI"
"9065882157295","DeepArt: AI for turning photos into artistic styles","visual-ai-other","visual-ai-other:handle","product URL","true","Other via handle","https://www.deeparteffects.com","DeepArt: AI for turning photos into artistic styles DeepArt Visual AI"
"9065882190063","Remove.bg: AI for automatic background removal","visual-ai-other","visual-ai-other:handle","product URL","true","Other via handle","https://www.remove.bg/pricing","Remove.bg: AI for automatic background removal Remove.bg Visual AI"
"9065882222831","ClipDrop: AI for image manipulation and object extraction","Image Enhancement AI | Object Detection AI","Image Enhancement AI:name | Object Detection AI:name","product URL","true","Image Enhancement AI via name; Object Detection AI via name","https://clipdrop.co/pricing","ClipDrop: AI for image manipulation and object extraction ClipDrop Visual AI"
"9065882255599","Luminar AI: Photo editing with AI-driven enhancements","visual-ai-other","visual-ai-other:handle","description","true","Other via handle","https://skylum.com/luminar-ai-pricing","Luminar AI: Photo editing with AI-driven enhancements Skylum Visual AI"
"9065882288367","DreamStudio: AI image generator powered by Stable Diffusion","Image Enhancement AI","Image Enhancement AI:name","product URL","true","Image Enhancement AI via name","https://dreamstudio.ai/pricing","DreamStudio: AI image generator powered by Stable Diffusion Stability AI Visual AI"
"9065882321135","Topaz Gigapixel AI: AI for image upscaling and detail enhancement","Image Enhancement AI","Image Enhancement AI:name","description","true","Image Enhancement AI via name","",""
"9065882353903","Let's Enhance: AI for improving image resolution and quality","Image Enhancement AI","Image Enhancement AI:name","description","true","Image Enhancement AI via name","",""
"9065882386671","Pixelcut: AI for e-commerce product image editing","Image Enhancement AI","Image Enhancement AI:name","product URL","true","Image Enhancement AI via name","https://pixelcut.ai/pricing","Pixelcut: AI for e-commerce product image editing Pixelcut Visual AI"
"9065882419439","Crello AI: AI-powered graphic design for social media and marketing","visual-ai-other","visual-ai-other:handle","description","true","Other via handle","https://crello.com/pricing","Crello AI: AI-powered graphic design for social media and marketing Crello Visual AI"
"9065944187119","Typeform (Interactive form builder for surveys, quizzes, and data collection)","Data Analytics AI | Data Cleaning AI | Data Visualization AI","Data Analytics AI:name | Data Cleaning AI:name | Data Visualization AI:name","description","true","Data Analytics AI via name; Data Cleaning AI via name; Data Visualization AI via name","",""
"9069939327215","Grok by xAI (Conversational AI for answering questions and providing insights with a focus on truth-seeking)","assistant-ai-other","assistant-ai-other:handle","description","true","Other via handle","https://x.ai/grok","Grok by xAI (Conversational AI for answering questions and providing insights with a focus on truth-seeking) xAI Assistant AI"
"9069939359983","ChatGPT by OpenAI (A versatile chatbot for conversations, task automation, and content generation)","Task Automation AI","Task Automation AI:name","description","true","Task Automation AI via name","",""
"9069939425519","Google Assistant by Google (Voice-activated AI for tasks, smart home control, and information retrieval)","Email Assistant AI | Meeting Assistant AI","Email Assistant AI:name | Meeting Assistant AI:name","description","true","Email Assistant AI via name; Meeting Assistant AI via name","",""
"9069939491055","Amazon Alexa by Amazon (Voice assistant for home automation, queries, and integrations)","Email Assistant AI | Meeting Assistant AI","Email Assistant AI:name | Meeting Assistant AI:name","description","true","Email Assistant AI via name; Meeting Assistant AI via name","",""
"9069939589359","Claude by Anthropic (Ethical conversational AI for safe and value-aligned responses)","assistant-ai-other","assistant-ai-other:handle","product URL","true","Other via handle","https://anthropic.com/claude","Claude by Anthropic (Ethical conversational AI for safe and value-aligned responses) Anthropic Assistant AI"
"9069939687663","Gemini by Google (Multimodal AI for text, image processing, and task assistance)","Email Assistant AI | Meeting Assistant AI | Task Automation AI","Email Assistant AI:name | Meeting Assistant AI:name | Task Automation AI:name","product URL","true","Email Assistant AI via name; Meeting Assistant AI via name; Task Automation AI via name","https://gemini.google.com","Gemini by Google (Multimodal AI for text, image processing, and task assistance) Google Assistant AI"
"9069939753199","Siri by Apple (Voice assistant for iOS devices, handling tasks and queries)","Email Assistant AI | Meeting Assistant AI","Email Assistant AI:name | Meeting Assistant AI:name","description","true","Email Assistant AI via name; Meeting Assistant AI via name","",""
"9069939785967","Copilot by Microsoft (AI assistant integrated into Microsoft 365 for productivity tasks)","Email Assistant AI | Meeting Assistant AI","Email Assistant AI:name | Meeting Assistant AI:name","description","true","Email Assistant AI via name; Meeting Assistant AI via name","",""
"9069939851503","Perplexity by Perplexity (AI-powered search and answer engine for research and queries)","assistant-ai-other","assistant-ai-other:handle","description","true","Other via handle","https://www.perplexity.ai","Perplexity by Perplexity (AI-powered search and answer engine for research and queries) Perplexity Assistant AI"
"9069940015343","Elicit by Elicit (Research assistant for literature reviews and data extraction)","Email Assistant AI | Meeting Assistant AI","Email Assistant AI:name | Meeting Assistant AI:name","description","true","Email Assistant AI via name; Meeting Assistant AI via name","",""
"9069940113647","Otter by Otter (AI-powered meeting assistant for transcription and note-taking)","Meeting Assistant AI | Email Assistant AI","Meeting Assistant AI:name | Email Assistant AI:name","description","true","Meeting Assistant AI via name; Email Assistant AI via name","",""
"9069940179183","Fathom by Fathom (Meeting assistant for summarizing calls and generating action items)","Meeting Assistant AI | Email Assistant AI","Meeting Assistant AI:name | Email Assistant AI:name","description","true","Meeting Assistant AI via name; Email Assistant AI via name","",""
"9069940277487","Grok Vision by xAI (Vision-enabled assistant for analyzing images and text)","Email Assistant AI | Meeting Assistant AI","Email Assistant AI:name | Meeting Assistant AI:name","description","true","Email Assistant AI via name; Meeting Assistant AI via name","",""
"9069940343023","Jasper Assistant by Jasper (AI for content creation and task automation)","Email Assistant AI | Meeting Assistant AI | Task Automation AI","Email Assistant AI:name | Meeting Assistant AI:name | Task Automation AI:name","description","true","Email Assistant AI via name; Meeting Assistant AI via name; Task Automation AI via name","",""
"9069940441327","Trello AI by Atlassian (Task management assistant integrated into Trello for project organization)","Email Assistant AI | Meeting Assistant AI | Task Automation AI","Email Assistant AI:name | Meeting Assistant AI:name | Task Automation AI:name","description","true","Email Assistant AI via name; Meeting Assistant AI via name; Task Automation AI via name","",""
"9069940506863","Notion AI by Notion (Productivity assistant for note-taking, summaries, and task automation)","Task Automation AI | Email Assistant AI | Meeting Assistant AI","Task Automation AI:name | Email Assistant AI:name | Meeting Assistant AI:name","description","true","Task Automation AI via name; Email Assistant AI via name; Meeting Assistant AI via name","",""
"9069940637935","Bixby by Samsung (Voice assistant for Samsung devices, focusing on device control)","Email Assistant AI | Meeting Assistant AI","Email Assistant AI:name | Meeting Assistant AI:name","description","true","Email Assistant AI via name; Meeting Assistant AI via name","",""
