"product_id","title","assigned_values","assigned_kinds","source_used","changed","classification_reason","url_used","web_search_query"
"9048227676399","MagicPods AI Bundle","","","description","false","No confident collection match found.","","MagicPods AI Bundle magicpodsai"
"9048894505199","WHP - WordPress Hosting","High Traffic WordPress Hosting","High Traffic WordPress Hosting:name","description","true","High Traffic WordPress Hosting via name","",""
"9065881764079","DALL·E 3 (OpenAI): AI for generating high-quality images from text prompts","visual-ai-other","visual-ai-other:handle","description","true","Other via handle","https://openai.com/dall-e-3","DALL·E 3 (OpenAI): AI for generating high-quality images from text prompts OpenAI Visual AI"
"9065881796847","Midjourney: AI for creating artistic and photorealistic images","visual-ai-other","visual-ai-other:handle","description","true","Other via handle","https://www.midjourney.com/pricing","Midjourney: AI for creating artistic and photorealistic images Midjourney Visual AI"
"9065881862383","Canva AI: Design platform with AI-powered image creation and editing","Graphic Design AI | Graphic Design Software","Graphic Design AI:name | Graphic Design Software:name","description","true","Graphic Design AI via name; Graphic Design Software via name","",""
"9065881895151","Stable Diffusion: Open-source AI for generating custom images","Source Code Management Software","Source Code Management Software:name","product URL","true","Source Code Management Software via name","https://stability.ai","Stable Diffusion: Open-source AI for generating custom images Stability AI Visual AI"
"9065881927919","Adobe Firefly: AI for image generation and editing within Adobe Suite","Ad Copy Generation AI | Music Generation AI | Code Generation AI","Ad Copy Generation AI:name | Music Generation AI:name | Code Generation AI:name","description","true","Ad Copy Generation AI via name; Music Generation AI via name; Code Generation AI via name","https://www.adobe.com/sensei/generative-ai/firefly.html","Adobe Firefly: AI for image generation and editing within Adobe Suite Adobe Visual AI"
"9065881960687","Runway ML: AI for image and video editing with generative capabilities","Podcast Editing AI | Video Editing AI | Audio Editing Software","Podcast Editing AI:name | Video Editing AI:name | Audio Editing Software:name","product URL","true","Podcast Editing AI via name; Video Editing AI via name; Audio Editing Software via name","https://runwayml.com/pricing","Runway ML: AI for image and video editing with generative capabilities Runway Visual AI"
"9065881993455","Artbreeder (AI for collaborative art generation)","AI Art Generation","AI Art Generation:name","description","true","AI Art Generation via name","",""
"9065882026223","Fotor AI: Photo editing with AI enhancements like background removal","Podcast Editing AI | Video Editing AI | Audio Editing Software","Podcast Editing AI:name | Video Editing AI:name | Audio Editing Software:name","product URL","true","Podcast Editing AI via name; Video Editing AI via name; Audio Editing Software via name","https://www.fotor.com/pricing","Fotor AI: Photo editing with AI enhancements like background removal Fotor Visual AI"
"9065882058991","NightCafe: AI art generator with multiple style options","AI Art Generation","AI Art Generation:name","description","true","AI Art Generation via name","",""
"9065882091759","VanceAI: AI for image upscaling","visual-ai-other","visual-ai-other:handle","product URL","true","Other via handle","https://vanceai.com/pricing","VanceAI: AI for image upscaling VanceAI Visual AI"
"9065882124527","Photopea AI: Browser-based AI-enhanced photo editing","Podcast Editing AI | Video Editing AI | Audio Editing Software","Podcast Editing AI:name | Video Editing AI:name | Audio Editing Software:name","product URL","true","Podcast Editing AI via name; Video Editing AI via name; Audio Editing Software via name","https://www.photopea.com","Photopea AI: Browser-based AI-enhanced photo editing Photopea Visual AI"
"9065882157295","DeepArt: AI for turning photos into artistic styles","visual-ai-other","visual-ai-other:handle","description","true","Other via handle","https://www.deeparteffects.com","DeepArt: AI for turning photos into artistic styles DeepArt Visual AI"
"9065882190063","Remove.bg: AI for automatic background removal","Malware Removal | Background Check Software","Malware Removal:name | Background Check Software:name","description","true","Malware Removal via name; Background Check Software via name","https://www.remove.bg/pricing","Remove.bg: AI for automatic background removal Remove.bg Visual AI"
"9065882222831","ClipDrop: AI for image manipulation and object extraction","Object Detection AI | AR Object Recognition AI | Data Extraction Software","Object Detection AI:name | AR Object Recognition AI:name | Data Extraction Software:name","description","true","Object Detection AI via name; AR Object Recognition AI via name; Data Extraction Software via name","https://clipdrop.co/pricing","ClipDrop: AI for image manipulation and object extraction ClipDrop Visual AI"
"9065882255599","Luminar AI: Photo editing with AI-driven enhancements","Podcast Editing AI | Video Editing AI | Audio Editing Software","Podcast Editing AI:name | Video Editing AI:name | Audio Editing Software:name","description","true","Podcast Editing AI via name; Video Editing AI via name; Audio Editing Software via name","https://skylum.com/luminar-ai-pricing","Luminar AI: Photo editing with AI-driven enhancements Skylum Visual AI"
"9065882288367","DreamStudio: AI image generator powered by Stable Diffusion","visual-ai-other","visual-ai-other:handle","description","true","Other via handle","https://dreamstudio.ai/pricing","DreamStudio: AI image generator powered by Stable Diffusion Stability AI Visual AI"
"9065882321135","Topaz Gigapixel AI: AI for image upscaling and detail enhancement","Image Enhancement AI","Image Enhancement AI:name","description","true","Image Enhancement AI via name","https://www.topazlabs.com/pricing","Topaz Gigapixel AI: AI for image upscaling and detail enhancement Topaz Labs Visual AI"
"9065882353903","Let's Enhance: AI for improving image resolution and quality","Quality Inspection AI | Data Quality Software | Quality Management System","Quality Inspection AI:name | Data Quality Software:name | Quality Management System:name","description","true","Quality Inspection AI via name; Data Quality Software via name; Quality Management System via name","https://letsenhance.io/pricing","Let's Enhance: AI for improving image resolution and quality Let's Enhance Visual AI"
"9065882386671","Pixelcut: AI for e-commerce product image editing","Podcast Editing AI | AR Commerce AI | Product Description AI","Podcast Editing AI:name | AR Commerce AI:name | Product Description AI:name","description","true","Podcast Editing AI via name; AR Commerce AI via name; Product Description AI via name","https://pixelcut.ai/pricing","Pixelcut: AI for e-commerce product image editing Pixelcut Visual AI"
"9065882419439","Crello AI: AI-powered graphic design for social media and marketing","Social Media Marketing Software","Social Media Marketing Software:name","description","true","Social Media Marketing Software via name","",""
"9065944187119","Typeform (Interactive form builder for surveys, quizzes, and data collection)","Data Analytics AI | Data Cleaning AI | Data Visualization AI","Data Analytics AI:name | Data Cleaning AI:name | Data Visualization AI:name","description","true","Data Analytics AI via name; Data Cleaning AI via name; Data Visualization AI via name","",""
"9069939327215","Grok by xAI (Conversational AI for answering questions and providing insights with a focus on truth-seeking)","Conversational AI","Conversational AI:name","description","true","Conversational AI via name","",""
"9069939359983","ChatGPT by OpenAI (A versatile chatbot for conversations, task automation, and content generation)","Conversational AI","Conversational AI:name","description","true","Conversational AI via name","",""
"9069939425519","Google Assistant by Google (Voice-activated AI for tasks, smart home control, and information retrieval)","Personal AI Assistants","Personal AI Assistants:name","description","true","Personal AI Assistants via name","",""
"9069939491055","Amazon Alexa by Amazon (Voice assistant for home automation, queries, and integrations)","Personal AI Assistants","Personal AI Assistants:name","description","true","Personal AI Assistants via name","",""
"9069939589359","Claude by Anthropic (Ethical conversational AI for safe and value-aligned responses)","Conversational AI","Conversational AI:name","description","true","Conversational AI via name","",""
"9069939687663","Gemini by Google (Multimodal AI for text, image processing, and task assistance)","Enterprise AI Assistants","Enterprise AI Assistants:name","description","true","Enterprise AI Assistants via name","",""
"9069939753199","Siri by Apple (Voice assistant for iOS devices, handling tasks and queries)","Personal AI Assistants","Personal AI Assistants:name","description","true","Personal AI Assistants via name","",""
"9069939785967","Copilot by Microsoft (AI assistant integrated into Microsoft 365 for productivity tasks)","Enterprise AI Assistants","Enterprise AI Assistants:name","description","true","Enterprise AI Assistants via name","",""
"9069939851503","Perplexity by Perplexity (AI-powered search and answer engine for research and queries)","Conversational AI","Conversational AI:name","description","true","Conversational AI via name","",""
"9069940015343","Elicit by Elicit (Research assistant for literature reviews and data extraction)","Data Extraction Software","Data Extraction Software:name","description","true","Data Extraction Software via name","https://elicit.com","Elicit by Elicit (Research assistant for literature reviews and data extraction) Elicit Assistant AI"
"9069940113647","Otter by Otter (AI-powered meeting assistant for transcription and note-taking)","Meeting Assistant AI","Meeting Assistant AI:name","description","true","Meeting Assistant AI via name","",""
"9069940179183","Fathom by Fathom (Meeting assistant for summarizing calls and generating action items)","Meeting Assistant AI","Meeting Assistant AI:name","description","true","Meeting Assistant AI via name","",""
"9069940277487","Grok Vision by xAI (Vision-enabled assistant for analyzing images and text)","Computer Vision AI","Computer Vision AI:name","description","true","Computer Vision AI via name","https://x.ai/grok","Grok Vision by xAI (Vision-enabled assistant for analyzing images and text) xAI Assistant AI"
"9069940343023","Jasper Assistant by Jasper (AI for content creation and task automation)","Task Automation AI","Task Automation AI:name","description","true","Task Automation AI via name","",""
"9069940441327","Trello AI by Atlassian (Task management assistant integrated into Trello for project organization)","Task Automation AI","Task Automation AI:name","description","true","Task Automation AI via name","",""
"9069940506863","Notion AI by Notion (Productivity assistant for note-taking, summaries, and task automation)","Task Automation AI","Task Automation AI:name","description","true","Task Automation AI via name","",""
"9069940637935","Bixby by Samsung (Voice assistant for Samsung devices, focusing on device control)","Personal AI Assistants","Personal AI Assistants:name","description","true","Personal AI Assistants via name","",""
