"productId","graphqlId","title","handle","vendor","status","onlineStoreUrl","metafieldType","metafieldUrl","normalizedMetafieldUrl","urlStatus","httpStatus","finalUrl","finalDomain","redirectCount","officialWebsiteAssessment","landingType","pageTitle","heading","failureReason","notes"
"9065881764079","gid://shopify/Product/9065881764079","DALL·E 3 (OpenAI): AI for generating high-quality images from text prompts","dalle-3-openai","OpenAI","ACTIVE","","url","https://openai.com/","https://openai.com/","unreachable","403","https://openai.com/","openai.com","0","likely_official_website","unreachable","","","http_403","title_token_matches:1 | vendor_token_matches:1 | http_403"
"9065881796847","gid://shopify/Product/9065881796847","Midjourney: AI for creating artistic and photorealistic images","midjourney","Midjourney","ACTIVE","","url","https://midjourney.com/","https://midjourney.com/","unreachable","403","https://midjourney.com/","midjourney.com","0","likely_official_website","unreachable","Just a moment...","","http_403","title_token_matches:1 | vendor_token_matches:1 | http_403"
"9065881862383","gid://shopify/Product/9065881862383","Canva AI: Design platform with AI-powered image creation and editing","canva-ai","Canva","ACTIVE","","url","https://canva.com/","https://canva.com/","unreachable","403","https://www.canva.com/","canva.com","1","likely_official_website","unreachable","Canva","","http_403","redirected_1_time | title_token_matches:1 | vendor_token_matches:1 | http_403"
"9065881927919","gid://shopify/Product/9065881927919","Adobe Firefly: AI for image generation and editing within Adobe Suite","adobe-firefly","Adobe","ACTIVE","","url","https://adobe.com/","https://adobe.com/","unreachable","","","","0","unclear","unreachable","","","ECONNABORTED","ECONNABORTED"
"9065882058991","gid://shopify/Product/9065882058991","NightCafe: AI art generator with multiple style options","nightcafe","NightCafe","ACTIVE","","url","https://nightcafe.studio/","https://nightcafe.studio/","unreachable","403","https://creator.nightcafe.studio/","creator.nightcafe.studio","1","likely_official_website","unreachable","Just a moment...","","http_403","redirected_1_time | title_token_matches:1 | vendor_token_matches:1 | http_403"
"9065882255599","gid://shopify/Product/9065882255599","Luminar AI: Photo editing with AI-driven enhancements","luminar-ai","Skylum","ACTIVE","","url","https://skylum.com/","https://skylum.com/","unreachable","403","https://skylum.com/","skylum.com","0","likely_official_website","unreachable","Just a moment...","","http_403","vendor_token_matches:1 | http_403"
"9065882419439","gid://shopify/Product/9065882419439","Crello AI: AI-powered graphic design for social media and marketing","crello-ai","Crello","ACTIVE","","url","https://crelloai.com/","https://crelloai.com/","unreachable","","","","0","unclear","unreachable","","","ENOTFOUND","ENOTFOUND"
"9069939327215","gid://shopify/Product/9069939327215","Grok by xAI (Conversational AI for answering questions and providing insights with a focus on truth-seeking)","grok-xai","xAI","ACTIVE","","url","https://x.ai/","https://x.ai/","unreachable","403","https://x.ai/","x.ai","0","unclear","unreachable","Attention Required! | Cloudflare","Sorry, you have been blocked","http_403","http_403"
"9069939359983","gid://shopify/Product/9069939359983","ChatGPT by OpenAI (A versatile chatbot for conversations, task automation, and content generation)","chatgpt-openai","OpenAI","ACTIVE","","url","https://chatgpt.com/","https://chatgpt.com/","unreachable","403","https://chatgpt.com/","chatgpt.com","0","unclear","unreachable","","","http_403","title_token_matches:1 | http_403"
"9069939687663","gid://shopify/Product/9069939687663","Gemini by Google (Multimodal AI for text, image processing, and task assistance)","gemini-google","Google","ACTIVE","","url","https://gemini.google.com/","https://gemini.google.com/","unreachable","502","https://gemini.google.com/","gemini.google.com","0","likely_official_website","unreachable","Error 502 (Server Error)!!1","","http_502","title_token_matches:2 | vendor_token_matches:1 | http_502"
